word,clue
agnus,"""___ Dei"""
reek,Be mephitic
jambs,Door parts
sass,Back talk
pas,Kettle and others
peen,"Flatten, as a rivet"
pdjames,"""A Certain Justice"" author"
tas,"Lab instructors, often"
nor,Neither's partner
boris,Mussorgsky's Godunov
adios,"""Later"""
leer,Odd look
bases,They might be loaded
noisier,More obstreperous
inca,Ancient Peruvian
asps,Egyptian menaces
amer,Part of O.A.S.: Abbr.
astros,Nolan Ryan team
ankles,Where traditional bloomers gather
troller,Individual who fishes
listen,"""Here's the thing ..."""
penned,Authored
rehab,Users might enter it
peer,"Look on tiptoe, say"
efs,Buffet centerpiece?
fixes,Tough situations
amscray,"""Get lost!"""
pools,Crawl spaces?
yens,Hankerings
men,Some couples
ital,Slanted type: Abbr.
roots,Lineage
boos,"Greets the Red Sox at Yankee Stadium, say"
read,Do a parent's bedtime activity
punts,Gives up responsibility
waned,Tapered off
sons,Mamas' boys
attys,Some advisers: Abbr.
audis,Quattros and TTs
lsts,D-Day transports: Abbr.
sloops,Pleasure boats
ter,Artist Gerard ___ Borch
motes,Grains
sds,Organizer of many a sit-in: Abbr.
sties,Messy places
open,"Pro-am tourney, often"
sealer,"Eskimo hunter, at times"
guards,Some football linemen
hrs,"Nolte's ""48___"""
normas,Actress Shearer et al.
peer,One of the elite
misti,El ___ (Peruvian volcano)
edams,Some cheeses
reo,___ Speedwagon
hades,Where the Styx flows
mets,"Major-league team with the most season losses, 120, in the 20th century"
der,Essen article
sirs,"""Dear"" ones"
totes,Carryalls
easels,They may stand in auditoriums
reed,Marsh stalk
enroll,Sign up
enemy,Other side
cons,Flimflammery
ores,Malachite and others
live,In person
une,"Feminine one, in France"
reef,Sailing danger
aits,"Brentford and Isleworth in the Thames, e.g."
rated,Like bonds and movies
hurling,It's said to be the world's fastest field sport
eggs,Jeweled Faberge objects
sos,Line in the sand?
irks,Vexes
pps,Second addendum to a letter: Abbr.
unc,Chapel Hill sch.
raregas,Last-column element on the periodic table
needier,More impoverished
cases,Docket listings
respect,1967 #1 hit whose title is spelled out in the lyric
astors,"Family once called ""the landlords of New York"""
emil,"Jannings of ""The Last Command"""
hahs,Derisive laughs
rtes,Many begin with I: Abbr.
abes,Five-spots
gems,Insets in a crown
togas,"Memorable ""Animal House"" costumes"
imlate,Untimely comment?
vary,Change into different forms
gator,"Bayou snapper, briefly"
ordains,Predestines
rugby,Sport named for a British boarding school
comer,Rising star
penal,Prison-related
gods,Mount Olympus dwellers
elias,Inventor Howe
menial,Servant
vital,Indispensable
oners,Lulus
nas,"""N.Y. State of Mind"" rapper"
pleased,Content
enron,"Subject of the 2005 book ""Conspiracy of Fools"""
etas,Hellenic H's
earns,Brings in
dry,Thirsty
enticer,Lorelei
intros,Opening remarks
seas,Seven things for a sailor
savor,Enjoy
denim,Jeans material
seers,Prophets
adas,Stage actress Rehan et al.
canvas,Start for some art
ceres,Astronomical discovery of 1801
reverie,"Mental vacation, so to speak"
raider,Ruthless Wall Street sort
day,Kind of school
river,"Fork's place, maybe"
une,"Rimbaud's ""___ Saison en Enfer"""
skis,Takes to the hills?
rhys,"Novelist Jean with the 1966 best seller ""Wide Sargasso Sea"""
inuse,Occupied
benes,1930's-40's Czech president
euler,Mathematician seen on a Swiss 10-franc note
tess,"Danny's love in ""Ocean's Eleven"""
medal,Chest display
nodes,Terminals in a computer network
error,Warning to a coder
sallys,Ride and Field
hives,Allergic reaction
ios,Showy moths
cozen,Hoodwink
stuarts,James I and Charles I
able,Fit
uno,Popular card game
oded,"Really binged, briefly"
atbay,"Cornered, as a wild animal"
aahs,Sounds of relief
oros,Inca fortunes
labor,Important political bloc
axed,Dismissed
prez,Firm honcho
emanate,Issue
aas,"""___ in apple"""
quarts,Ice cream purchases
sty,No place for a neatnik
eden,Fall venue
naggy,Shrewish
eaten,Downed
natter,Go on
dais,Honoree's spot
hotbeds,Busy places
reade,Aptly named English novelist
coy,"Shy, but maybe not?"
boss,Order (around)
ssts,Retired fliers
barons,Magna Carta's drafters
peas,Common tidbits in fried rice
erased,"Like the previous clue (which originally read ""Place of Jewish worship"")"
intend,Aim
atty,Lawyer: Abbr.
deon,"""The Cosby Show"" actor Richmond"
alexis,"De Tocqueville who wrote ""Democracy in America"""
eared,Like many seals
etal,Bibliographic abbr.
reid,"""Common sense"" philosopher Thomas"
wed,Bond
penny,Trifle
arced,Wasn't straight
say,For instance
easts,Certain bridge positions
debar,Shut out
cries,Entreaties
whats,Start of a query to a practical tailor
chess,Setting for a castle
impiety,Sacrilege
waled,Like corduroy
decked,Knocked to the canvas
irked,Cross
amos,Biblical prophet
lacey,Cagney's TV partner
untack,Release a bulletin?
emiles,Writer Zola and others
tecs,"They're on the case, in slang"
inlaw,Cause of many a family feud
rally,Comeback
pets,Favored ones
toy,Kind of poodle
ashy,Far from flushed
intwo,Halved
reuse,Find a second function for
olay,Billion-dollar Procter & Gamble brand
reeve,1978 Superman portrayer
dromes,"Courses, in combinations"
ess,"Dangerous curve ahead, say"
tryouts,Auditions
renee,"""Walk Away ___"" (1966 top 10 song)"
enc,Accompanier of a letter inside an env.
inuse,"Occupied, as a restroom"
ensue,Follow
gross,"""Yecch!"""
its,"""___ a girl!"""
prodder,One tending to steer out of control?
redtide,Dangerous algal bloom
zeal,Gusto
repels,Drives back
ess,Suffix with seer
enos,Hall-of-Famer Slaughter
xeroxed,"Ran off, in a way (max opening score of 94 points)"
acey,___-deucey
diapers,Freshens up baby
accepts,Countenances
reach,Get through to
nhler,"Islander, e.g."
pas,Father figures
shops,Bazaar parts
lps,A D.J. might spin them
odor,"Musk, e.g."
ads,Spots
over,Done
able,Qualified
quayles,Vice-presidential family of 1989-93
ming,Vase style
decafs,Some coffee orders
inlet,Cove
yaps,Shrill barks
ger,Neighbor of Switz.
asocial,Not gregarious
seems,Appears to be
inn,"B & B, e.g."
rests,Notes' counterparts
eris,Greek goddess of discord
pals,Mates
vapor,Contrail contents
hovels,Some accommodations
magus,Sorcerer
dees,Low marks
enid,Sir Geraint's faithful wife
ehs,Geezers' queries
nis,"""___ for nest"""
dress,Get decked out
ears,Drum containers
cozens,Swindles
onus,Responsibility
sheen,Luster
ores,Copper containers
kits,Baby foxes
trances,Seance doings
gates,Entrances to exclusive communities
etal,Citation abbreviation
sss,Draft org.
cloy,Satiate
demo,Sample tape
sears,Large chain
ives,Patron saint of lawyers
isms,Theories
lased,"Zapped, in a way"
ltds,Former Ford models
wed,Couple
loos,English johns
kos,"Boxing victories, briefly"
alas,Wistful word
teal,Bluish hue
ims,"Chats online, for short"
need,Require
rewords,"Edits, as text"
disc,"Tiddlywink, e.g."
acs,"Window boxes, for short?"
owen,Glendower who revolted against Henry IV
allowed,Conceded
nessen,Ford's press secretary
encases,Wraps
slates,Groups that run
player,Cast member
oceans,Thalassographers' topics
ehs,Responses of confusion
goers,Gadabouts
adds,Uses an abacus
mineral,"Feldspar, e.g."
une,"A, in Armentieres"
imbroke,"""You'll have to pay for me"""
daddy,"Whom ""my heart belongs to"""
stupors,Dazes
penns,"___ Grove, N.J."
isomers,Beta carotene and others
indira,First name in Indian politics
pars,Links numbers
teeny,Itsy-bitsy
straits,Some shipping routes
vanes,Rooftop sights
genesis,Book with Adam and 41-Across
hosed,"Cleaned with water, as a sidewalk"
ima,"""___ Rocker"" (Springsteen song)"
ataloss,Confounded
moseys,Wanders
braces,Kissers' interference
das,Court figs.
teen,Many a first-time voter
ion,"B+, e.g."
retold,Like old jokes
inre,Concerning
denier,Naysayer
aural,Hearing-related
axels,Ice skaters' jumps
ensor,"""Scandalized Masks"" painter, 1883"
eng,Ally of the U.S.
diy,"Like most craft projects, in brief"
eggnogs,Holiday beverages
mods,"Adjustments, informally"
pepys,Chronicler of the English Restoration
fey,Hardly macho
ine,Like Bruckner's Symphony No. 7
reap,Harvest
wizen,Wrinkle with age
entire,Lacking nothing
hermes,Mercury counterpart
djs,"Party people, for short?"
narcs,Feds who make busts
cusps,Zodiac borders
cider,Press product
saucers,"Big eyes, metaphorically"
elected,Kind of official
odor,Unwanted discovery in a refrigerator
unled,Anarchic
led,Headed
porter,Luggage carrier
inc,Company name ender
anos,Long times in Lima
axons,Neural transmitters
ties,Track components
anti,Like some debaters
pbs,"Nightly ""NewsHour"" airer"
gas,Real blast
sed,"But, to Brutus"
hairs,"Crime scene evidence, often"
cabs,Where truckers sit
loges,Pricey seating areas
landry,Longtime Cowboys coach Tom
sardis,Eatery known for its celebrity caricatures
latimes,"Norman Chandler's paper, briefly"
litters,Leaves something behind
wipes,Nursery supplies
spasms,"Cramps, e.g."
cats,Hipsters
bees,Honey bunches?
epical,More than great
lines,Some memorization
eng,H.S. class
acs,"Summer coolers, for short"
awls,Poking tools
toner,Supply for 34-Across
acs,"Window boxes, for short"
iever,"""Do ___!"""
invoke,Call forth
fer,___-de-lance (pit viper)
smews,Eurasian ducks
actor,"Stage coach user, possibly"
oss,Hush-hush W.W. II agcy.
exes,Former item
aspects,Looks
sorts,Out of ___ (discombobulated)
repro,Not an original
els,Trains to the Loop
emts,"Ones called to an accident, briefly"
pharos,Site of one of the Seven Wonders of the Ancient World
usarmy,G.I.'s org.
rigor,Boot camp experience
amity,Goodwill
andor,Legalese conjunction
sprier,Less stiff
cos,Dow Jones listings: Abbr.
lams,Skedaddles
imp,Little troublemaker
ricer,Potato preparation aid
pastes,Puts in the scrapbook
taxis,Line at an airport
pests,Gnats and mosquitoes
expos,Montreal team
ass,Imbecile
mred,TV palomino
added,Over-and-above
oxides,Lime and others
pre,Prefix with nuptial
evils,Pandora's box contents
hags,"Trio in ""Macbeth"""
eres,"""___ Tu"" (1974 hit)"
segues,Musicians' transitions
eden,Perfect world
emcees,Hosts
beds,Places for flowers and oysters
sal,Baseball star Maglie
guider,One escorting
steps,"With 22-Across, quits dragging"
avis,Enterprise rival
holms,Filmdom's Ian and Celeste
reship,"Forward, as a package"
enjoy,Delight in
ideal,Like a score of 10 for 10
ops,Special ___
oyer,Legal hearing
oss,Old spy org.
attars,Scents
phenols,Chemical compounds in so-called hospital smell
nearly,Almost
agts,I.R.S. employees: Abbr.
dills,Particular pickles
lushly,How rain forests grow
moths,Unwanted closet items
odors,What wavy lines often represent
erected,Built
notes,Observes
yurts,Round abodes
oils,Lubricates
ally,Compatriot
lasses,Lads' loves
hots,Have the ___ for
seder,Where questions are asked
enola,___ Gay
rerun,Many a late-night cable show
tiffs,Small scraps
ives,"""Variations on 'America'"" composer"
even,Square
sorry,"""Oops!"""
rites,Priests' duties
pitts,Actress ZaSu
ring,Telephone
nas,"""Illmatic"" rapper"
aver,Swear up and down
sarazen,Golf legend Gene
final,Term ender
skims,Reads quickly
dealers,They've got to hand it to you
dias,"""Buenos ___"""
acted,Wasn't naturally
mused,Ruminated (on)
sas,Carrier to Copenhagen
isls,Cruise stops: Abbr.
hal,"""Prince Valiant"" cartoonist Foster"
keats,"Poet who wrote ""A thing of beauty is a joy for ever"""
ukes,Luau entertainers
dean,"Old-timer, of sorts"
stashed,"Like loot, often"
ten,Roman numeral X
yes,Agreeable word
atbay,In check
res,In medias ___
enos,Slaughter on the ballfield
unarm,Remove a piece from?
icier,"More slippery, as winter roads"
ekes,"Barely makes, with ""out"""
exs,"George Strait's ""All My ___ Live in Texas"""
rec,___ center
abates,Moderates
error,"Overthrow, e.g."
ereader,Device many use in bed
story,Tale
nests,Some homes
inane,Vapid
iris,Pupil's locale
hilts,Handles
eminent,Celebrated
miss,Fail to make
eensy,"Tiny, informally"
maris,Slugger in 1961 news
dyed,"Highlighted, say"
semi,Rest stop sight
oaken,Like many brandy casks
eased,Abated
any,"""___ takers?"""
ene,Chicago-Detroit dir.
staten,"Verenigde ___ (America, in Amsterdam)"
presto,Magician's word
shied,Shrank (from)
sty,Sow's home
moos,Things Old MacDonald hears
enol,Organic compound
insane,"Certifiable, so to speak"
knolls,Rolling features of some golf courses
vous,Part of R.S.V.P.
entail,Necessitate
ned,"Flanders of ""The Simpsons"""
lps,CD predecessors
ibis,Sacred ___
nitty,___-gritty
vials,Perfumery bottles
accrues,Earns over time
evokes,Suggests
honors,Phi Beta Kappa and such
feds,Some officers
danes,Queen Margrethe's subjects
nonzero,Positive or negative
eras,Periods of time
pcts,"Free throw avgs., e.g."
iranis,Many Shiites
otis,Mayberry souse
sss,Radiator sound
beers,Round things?
reo,Vintage wheels
ine,Suffix with glass
owners,They have rights
errs,Misses the mark
oneal,Shaq's surname
ahas,"Discoveries, colloquially"
yearly,Like the return of swallows to Capistrano
acceded,Gave consent
mess,"Child's room, often"
token,Representative
hinged,Like most gates
reb,Yank's foe
baer,Boxer Max
essen,Bad ___ (Lower Saxony city)
perots,Politico Ross and family
swords,Some canape picks
refrain,It may follow a bridge
sal,___ soda
coen,"Surname on a 2010 ""True Grit"" poster"
obrien,New York-based TV host
rel,Presb. or Epis.
gassy,Given to gabbing
sly,Not obvious to most
messrs,Gentlemen: Abbr.
tokens,Symbolic gestures
antics,Funny business
agency,"F.B.I., e.g."
armed,Holding one's piece
deco,Like some '39 New York World's Fair buildings
wooed,Courted
sneer,Supercilious look
seen,Observed
gains,Dieters' woes
usuries,Illegal bank practices
otis,"""Miss ___ Regrets"""
olive,Antipasto morsel
argued,Went at it
rvs,"Campers' campers, for short"
toorder,Specifically as one likes
amos,Three-time Gold Glove winner ___ Otis
den,Remote area?
honeys,Uses cajolery on
seles,Hingis rival
eddy,It's a small whirl after all
asides,They might be in parentheses
toss,Attempt at a carnival booth
xed,Crossed (out)
ento,Prefix with -zoan
wary,On guard
ital,It adds stress: Abbr.
enigmas,Posers
diodes,Some semiconductors
enero,Calendario page
brs,Condo-ad abbr.
alias,Pen name
until,Up to
skied,Raced with runners
unite,Bring together
usps,Inits. on a mail truck
ted,"___ talks, offerers of ""ideas worth spreading"""
unsure,Hesitant
ray,2008 World Series athlete
oozy,Like mud
errs,Goes off
soaks,Gets into hot water?
ponchos,Rain gear
etsy,Website for some custom-designed jewelry
rosy,Pinkish
omen,Harbinger
oer,"""The Star-Spangled Banner"" contraction"
inc,"Pixar's ""Monsters, ___"""
scored,Ruined a shutout
eddy,Drain feature
five,See 71-Across
emts,CPR pros
parer,Kitchen gizmo
widen,"Add a lane to, say"
hips,They may swivel
euler,"Introducer of the math symbol ""e"""
rely,Depend (on)
ideal,"Miss America, to some"
trances,Rapt states
bower,Leafy shelter
ers,TV drama settings
rashers,Some brunch servings
els,"Most IRT lines in the Bronx, e.g."
lps,"Platters, briefly"
doses,Doctors' orders
end,Break off
imaret,Turkish hospice
rawer,More green
sues,Seeks legal recourse
renos,"""___ Most Wanted"" (""best-of"" compilation of a popular TV cop show)"
feed,"Oats, e.g."
sal,Mineo of film
adrates,They vary with circulation
robes,Court wear
eves,Special holiday periods
sagas,Some trilogies
for,Pro
retton,Gymnast Mary Lou
acted,Had a part (in)
scotty,Crewmate of Sulu and Bones
deedee,"Myers who wrote ""Why Women Should Rule the World"""
alerted,Tipped off
deca,Ten: Prefix
asner,Actor who won comedy and drama Emmys for the same role
skits,Blackouts
fuss,Something to kick up
dialer,Telephone user
kinks,Difficulties to be worked out
bsides,They're opposite hits
henley,"""Crimes of the Heart"" playwright Beth"
afters,"Dessert, to a Brit"
def,"""Fer sher"""
texas,Houston's home
frozen,Like some assets and smiles
vcrs,"Tapers, briefly"
drips,Insomnia causes
amy,"""The Joy Luck Club"" writer Tan"
adeal,"""Let's Make ___"""
apercus,Quick impressions
shops,Mall features
toils,Doesn't do the job easily
ispy,Kids' guessing game
succeed,Follow
ned,"Mr. Flanders of ""The Simpsons"""
pity,"""The scavenger of misery,"" per Shaw"
vans,Delivery vehicles
icemen,Workers skilled with tongs
ives,Big name in lithography
sons,Word in many business names
tenpins,Bowling
cvs,"Job seekers' needs, in brief"
yens,Hankerings
eons,Huge spans
cages,Zoo enclosures
classes,Teaching load
agoras,Ancient squares
unlit,Like seven candles on the first night of Hanukkah
redwood,California's ___ National Park
corns,Sore spots
marys,St. ___River (Superior-Huron link)
ropes,Subject of sailors' knowledge
uboats,Threats to World War shipping
sambaed,Performed a Latin ballroom dance
tents,Canvases
rotor,Turbine part
enure,Accustom
noting,Record making
spars,Engages in argument
versed,"Up on, with ""in"""
inon,Home ___
need,What have-nots have
eds,"People people, for short"
raven,"""Nevermore"" speaker"
init,"""What's ___ for me?"""
nonuse,Avoidance
email,Letters that don't need stamps
mas,"""No ___!"" (Spanish ""Uncle!"")"
unearth,Make public
tess,Hardy heroine
nooses,Hangmen's needs
ers,Busy hosp. areas
tavis,First name on PBS
ray,Beam
manors,Plantations' stations
skis,Stowe equipment
inor,"""Are you ___ out?"""
major,Word before league or domo
emend,Touch up
inawe,Stupefied
nags,Acts the shrew
bravos,Calls for Pavarotti
pas,Step on French soil
wed,Made one
elis,Bulldogs
animal,Brute
yen,"Its symbol is a ""Y"" with two horizontal lines through it"
dreams,Oneirologist's study
bbs,Air rifle ammo
prep,Ready for surgery
senior,Kind of moment
estes,Pitcher Shawn
kos,"Some boxing wins, briefly"
heists,Bank capers
ashes,Grateful?
preps,Readies
notes,Memoranda
posing,Not authentic
sten,British submachine gun
enron,Scandal-ridden company of the early 2000s
ninny,Dingbat
robs,Steals from
bows,Violinists' needs
lards,Pads
assess,Gauge
onion,"""America's Finest News Source,"" with ""The"""
tunes,Ditties
atbay,Held off
nos,Denials
painter,A famous one is often connected with a school
dents,Cause for an insurance claim
anions,Hydroxide and chloride
ditsy,Like a space cadet
pas,Daddies
array,Matrix
ceos,Top dogs
indoor,Opposite of alfresco
hoer,Earth mover
teen,Typical Mad reader
fens,Peaty areas
waive,Relinquish
dahlias,Showy flowers
acres,"Jane Smiley's ""A Thousand ___"""
deps,Passbook amts.
manlier,Like Popeye vis-a-vis Wimpy
deco,Art follower
inlaw,Relative by marriage
alter,Change
boris,Czar of Russia between Feodors
didover,Took a mulligan on
refine,Purify
miner,Light-headed person?
octal,Eight-related
isfor,Supports
apes,Chimps and such
city,Metropolis
los,"""___ Amigos"" (1973 western)"
modesty,Unwillingness to crow
retakes,Film extras?
opeds,Newspaper opinion pieces
une,"One, in Orleans"
henry,Any of the three Lancaster kings
obeys,Conforms
wits,Skilled punsters
tiger,Tony of cereal fame
ideas,"""Don't get any funny ___!"""
laces,Parts of boxing gloves
imno,"""___ Angel"" (Mae West movie)"
remus,Fictional teller of tales
ets,Dolls of the 80's
inmost,Deepest
unit,Cohesive entity
uni,Cycle starter
kids,Swing-set set
retch,[Gag!]
holey,Well-ventilated
atlas,Mini-section of an almanac
usable,Functional
beads,Abacus parts
exed,Deleted
gen,Lead-in to X or Y
soars,Takes off
ethos,Community spirit
ever,Perpetually
able,Up to it
yows,Pained plaints
xes,Illiterates' signatures
cos,Beloved comic's nickname
raisins,Oatmeal topping
early,Jumping the gun
kiter,Bad-check passer
inns,Some stopovers
peachy,Hunky-dory
amor,Cupid
bakes,"Sunbathes, informally"
archer,"William Tell, for one"
rabbis,Some wedding parties
fibber,Person with small inventions
noisier,More obstreperous
stolen,Hot
deter,Discourage
anils,"""___ Ghost"" (Michael Ondaatje novel)"
spinal,Kind of column
cries,Betrays one's blue state
nos,Turndowns
friable,Crumbly
certs,Step 5 of the journey
lined,Like notebook paper
nikes,Some sportswear
lehrer,MacNeil's longtime partner
backbay,Posh part of Boston
herds,Range rovers
bayed,"Sang in the moonlight, maybe"
roods,Crosses
ator,Suffix with liquid
rept,Weather info: Abbr.
bess,1940s-'50s White House name
sparks,Signs of a bad outlet
matey,Swab
sides,"A and B, e.g."
enid,Camelot lady
ratios,"Odds, e.g."
boss,Political V.I.P.
teed,Ticked (off)
omen,"An eclipse, some think"
imps,Little troublemakers
hags,Witches
arles,Van Gogh home
anoraks,Cold-weather garb
oring,Rocket gasket
senses,Bad decision makers may have lost theirs
abhors,Finds unbearable
rep,Dem.'s foe
leeves,"""Frasier"" actress Jane"
eras,The Cenozoic and others
sikhs,Punjabi believers
kales,Nutrient-rich cabbages
edger,Trimming tool
risky,___ business
speer,Nazi architect Albert
viols,Early strings
emote,Overact
splints,First-aid equipment
plexus,Solar ___
biller,Creditor
sing,Tell all
unix,Bell Labs system
end,Business ___
pacer,Horse in a harness
apexes,Pinnacles
donner,One of Santa's reindeer
fisted,Two-___ (aggressive)
dep,A.T.M. transaction: Abbr.
tommy,Designer Hilfiger
ears,Obstacles for barbers
metal,Microwave no-no
pedants,Know-it-alls
inuit,Arctic native
trees,Dendrologists' concerns
arness,"""Gunsmoke"" star"
cabal,Intrigue
kisses,Individually wrapped candies
arts,These may be fine
yser,1914 Belgian battle line
mideast,"Hot spot, both literally and figuratively"
open,Many a tournament
assts,Support staff: Abbr.
maiden,Knight's fair lady
sins,50-Down and others
local,"One giving directions to a tourist, say"
sends,Transmits
retags,Puts new prices on
its,FW*W
reset,Copier button
yells,Shouts
eyed,Surveyed
atoner,Redresser
stolen,Hot
allen,Basketball great Iverson
oasis,Break ground?
detail,Tick off
pity,Feeling for the unfortunate
aural,Ear-related
section,Ticket information
sobs,Wails
meats,Deli array
iss,Satellite inhabited continuously since 2000: Abbr.
arbors,Shady areas
adapts,Makes evolutionary changes
pis,"Detectives, for short"
vapor,Something in the air
lds,Church with elders: Abbr.
oleary,Notorious cow owner
kos,"Puts down, in brief"
ashtray,Place for butts
innie,Certain navel
ines,Spanish conquistadora ___ de Suarez
ind,Not the party type?: Abbr.
verses,Biblical passages
sierras,Jagged mountain range
busts,Sculptures
ted,Poet Hughes
ldrs,People in charge: Abbr.
owner,Deed holder
slower,"Ritardando, musically"
jests,Isn't serious
dean,College official
lamas,Eastern priests
seekers,Some players in a kids' game
loos,Elton's johns
entre,___ nous
emigre,Political refugee
rivaled,Competed with
sets,Places for play things?
rawdeal,Injustice
frees,Unleashes
shiner,Eye shadow?
lied,Schubert composition
shoes,Brake equipment
asfaras,To the extent that
goes,Departs
legs,Runners
deejay,Record keeper?
ied,Mil. danger
rea,"Stephen of ""Citizen X"""
maimed,Seriously harmed
robes,Choir attire
sky,Pilot's milieu
oily,Hardly trustworthy
ind,Third line on many a ballot: Abbr.
signs,Yield and No Parking
entire,Whole
eraser,Script scraper
dent,Small bit of progress
retype,Correct a key problem?
rums,Caribbean exports
email,Message sent with a click
spurns,Cold-shoulders
suedes,They have naps
ren,Stimpy's TV pal
tis,Bard's contraction
per,Part of r.p.m.
pitas,Falafel holders
karen,One of the Carpenters
emil,"Disney's ""___ and the Detectives"""
ios,Platform for many tablets
acts,"""Hamlet"" has five"
tics,Idiosyncrasies
dynes,Force units
seared,How scallops are often prepared
stones,They're the pits
cey,All-Star third baseman Ron
oiled,"Loosened up, in a way"
ocelots,Forest felines
shower,What you probably have a head for
tis,"""___ So Sweet to Trust in Jesus"" (hymn)"
rots,Breaks down
marry,Hook up with
meets,Pool competitions
mymy,"""Well, what do we have here!"""
isas,"""That ___ it should be"""
murals,Unhung paintings
stens,W.W. II weapons
edger,Landscaper's tool
deralte,Old West German moniker
yemen,Nation reunited in 1990
suing,"Going after, in a way"
inker,Part of a printing press
seal,Indicator of approval
unease,"Butterflies, say"
dicey,Touch-and-go
gloomy,Dark and depressed
stats,Sports figures
xer,Generation ___
maris,1960-61 A.L. M.V.P.
ess,Tee preceder
slices,Some tennis strokes
dyed,"Artificially blonde, say"
ewer,Vessel with a spout
dern,"""Coming Home"" co-star"
goby,Pass
salamis,Ones hanging around a deli?
acted,Took steps
desk,Many a security point
trials,"Step on the way to the Olympics, maybe"
berets,Beatnik toppers
minis,60's attire
degas,Impressionist Edgar
bogus,Fake
intern,Resident
emits,Shoots off
ahoy,"""Hey there, matey!"""
poker,Log roller
ops,Harvest goddess
able,Practiced
wyoming,Squarest of the 50 states
storer,Depositor
kens,Understands
embark,"Start, with ""on"""
gas,Neon or xenon
noisy,Clamorous
opal,Australia's national gemstone
jetsets,Lives the high life
eraser,One way to take back one's words?
scares,Cows
glands,Sources of saliva and sweat
thy,"""Love ___ neighbor ..."""
peer,Appointed member of Parliament
eeks,Fun house outbursts
arable,Fit to be tilled
derive,Draw (from)
struts,Walks like a peacock
tabby,Puss
tudors,Houses named for a house
tds,"Sixers in pro sports, for short?"
ray,Bit of sunshine
amused,"Smiling, evidently"
pier,Liner's landing
arms,They may be heavy or open
seen,Caught
seis,Dos x tres
amas,Part of a Latin trio
wary,Guarded
inall,Together
lots,Plenty
steeped,"Like tea bags, traditionally"
deny,Refuse
slacks,Pants that are dressier than jeans
miter,Bishop's hat
unc,Where Michael Jordan played college ball: Abbr.
eller,"""Oklahoma!"" aunt"
screens,Multiplex multitude
ensue,Result
traced,Like some drawings and telephone numbers
uncial,Writing style of old Latin manuscripts
aden,British crown colony from 1937 to 1963
logs,Records
ensigns,"Some ""Star Trek"" personnel"
gingers,Teriyaki spices
retire,Bow out
yeses,Some R.S.V.P.s
magnets,Refrigerator decorations
mes,Calendario unit
igive,"""Uncle!"""
indie,Rock genre
ural,Europe's third-longest river
torus,"Life preserver, e.g."
unquote,Citation's end
aerial,Item obviated by cable TV
worms,Basic bait
ming,Like some vases
devo,70's-80's robotic rock group
extends,"Renews, say"
alien,Strange
ides,___ of March
vibes,Hampton's instrument
unc,The Tar Heels: Abbr.
teds,Williams and Knight
posey,"Parker ___, so-called ""Queen of the Indies"""
enuf,"Ample, informally"
recon,Fact-finding mission
sups,Doesn't merely snack
leis,Oahu wreaths
ames,Home of Iowa State
shady,Disreputable
alms,Some donations
odds,Bookie's figures
prefab,"Ready to assemble, as a home"
stews,Worries anxiously
nets,New Jersey five
etal,Abbr. after a list
hued,Taking a certain tone
reunite,Get back together
convy,Host Bert of old game shows
wren,Small songster
kesey,Leader of the 35-Across
eclairs,Elongated pastries
fooled,Pulled a fast one on
sharpen,"Make a point, in a way"
areas,"Subjects of research, e.g."
dons,Gets into
intros,Starters
only,One and ___
sepals,Floral components
boss,Commander
gals,Hoedown participants
prices,They may be cut or slashed
even,*Tied
embers,Glowing remnants of a fire
deere,Big name in tractors
lacy,"Frilly, as lingerie"
opted,Went (for)
oss,Old spy org.
inn,Roadside establishment
gen,Mil. commander
ratted,Snitched
entail,Necessitate
spots,Card markings
taurus,Popular Ford
gets,Receives
yolks,Yellow parts
elias,Inventor Howe
stars,Constellation units
entire,Whole
chatter,Teeth do it
ento,Prefix with -zoic
aims,Points
seats,What straphangers lack
enbloc,As a whole
amos,"Burke of TV's ""Burke's Law"""
ives,Currier's companion
olives,Martini garnishes
fils,Junior Dumas
ably,Well
sneaked,Didn't proceed forthrightly
acs,Coolers
antares,Star in Scorpius
winter,One of the four seasons
finis,The end
astral,Related to the stars
fogs,Muddles
alrosen,1953 A.L. M.V.P.
napes,Scruffs
paten,Eucharist plate
eden,Scene of a fall
ensnarl,Ravel
diy,Handyman's letters
brass,Military muckamucks
remade,Newly fashioned
seers,Forward-looking group
eder,River near Kassel
edens,Paradises
easier,Less puzzling
roots,Rummages (through)
hidden,Like many dyed eggs
squads,Cheerleading groups
nests,Tree houses?
sass,Get fresh with
ree,Female ruff
naive,Green
detour,"Sign near roadwork, maybe"
sissy,No bruiser
abner,Civil War general Doubleday
tway,1986 P.G.A. Championship winner Bob
sids,Caesar and others
reddy,"""I Am Woman"" singer"
retag,Change the price of
jive,Malarkey
geer,"Grandpa on ""The Waltons"""
relic,Archaeologist's find
bless,Smile upon
react,DO something
overeat,"Go beyond seconds, say"
yen,Japanese moolah
eaten,Ingested
decorum,Good form
awakes,Stirs
eno,Brian who produced U2
icy,Standoffish
isps,AOL and MSN
allies,United group
ivins,"""Molly ___ Can't Say That, Can She?"" (1990s best seller)"
scion,Offspring
ads,Parts of a Facebook feed
silks,Jockey's wear
inri,Letters on a cross
ids,Cards
oday,Jazz singer Anita
army,"""Be All You Can Be"" group"
antic,Madcap
aural,Like an otologist's exam
rene,Philosopher Descartes
